炮塔		[turret_NAME]	[turret_doge]
代码	代码翻译	描述 炮塔上限31个	例子	值类型
x:	x:	坐标X	x:10	float
y:	y:	坐标Y	y:10	float
height:炮塔高度(用于3d单位,实测链接的炮塔也会跟着改变高度) float
copyFrom:	复制数据自	复制指定炮塔的所有值，作为该炮塔的默认值。新写代码重复时则覆盖掉它。	copyFrom: 1	turret ref
projectile	抛射体	使用此抛射体。默认为第一个抛射体。	projectile:torpedo	projectile ref
altProjectile	关联抛射体	当altProjectileCondition为true时，从此炮塔发射的抛射体。	altProjectile:lowEnergy	projectile ref
altProjectileCondition	关联抛射体条件	用于altProjectile	altProjectileCondition:if not self.energy(full=true)	LogicBoolean
barrelX	炮弹x	默认值为0。控制抛射体生成的X轴位置。	barrelX:0	float
barrelY	炮弹y	默认为大0。注意：size和barrelY含义相同	barrelY:10	float
barrelHeight	炮弹高度	高度（用于3d）。影响抛射体产生的高度。	barrelHeight:10	float
size:	炮塔大小	控制炮塔中心与弹丸产生点之间的距离。	size: 5	float
turnSpeed	炮塔转速	炮塔最大转动速度。单位度每帧。	turnSpeed:5	float
turnSpeedAcceleration	炮塔旋转加速度	炮塔加速度，默认设置为禁用，并使用全转速度。	turnSpeedAcceleration:1	float
turnSpeedDeceleration	炮塔旋转减速度	默认为turnSpeedAcceleration。将此值设置为高于转弯加速度可能会允许更快地命中目标	turnSpeedDeceleration:1	float
idleDir	闲时角度	闲置时角度。	idleDir:90	float
idleDirReversing	闲时角度反转	允许闲置时角度反转。除非连接到另一个炮塔（否则连接的炮塔在反转时通常会旋转），否则默认为idleDir + 180。如重坦逆行时炮塔转向。	idleDirReversing:1	float
shouldResetTurret:	空闲自动归位	默认为true。 填false时禁止炮塔自动归位。	shouldResetTurret:false	bool
idleSweepAngle	空闲扫描角度	炮塔闲时扫描角度。这一系列用于设置炮塔闲置时候转圈警戒动作。	idleSweepAngle:45	int
idleSweepDelay	空闲扫描延迟	炮塔闲时扫描间隔，多久动一次。	idleSweepDelay:120	float
idleSweepSpeed	空闲扫描速度	炮塔闲时扫描转向的速度。	idleSweepSpeed:0.2	float
idleSweepCondition	空闲扫描条件	炮塔闲时扫描的条件，比如单位移动但没攻击时炮塔确实是闲置的，但这时可能不该旋转。	idleSweepCondition:if not self.isMoving()	logic boolean
idleSweepAddRandomDelay	空闲扫描随机延迟	炮塔闲时扫描的随机延迟	idleSweepAddRandomDelay:40	float
idleSweepAddRandomAngle	空闲扫描随机角度	炮塔闲时扫描的随机角度	idleSweepAddRandomAngle:10	int
attachedTo:	链接到	要连接的另一个炮塔的ID，将相对于它定位，并随其旋转。	attachedTo:1	turret ref
slave:	隶属	锁定此转塔的方向，并为附加的转塔发射冷却时间。常用于多炮管单位。	slave:true	bool
isMainNanoTurret:	是主构建炮塔	默认为false。用于创建建筑物的炮塔。只能在一个炮塔上为true，并且canShoot设置为false。	isMainNanoTurret:true	bool
energyUsage:	能量需求	发射武器所需的能量。与resourceUsage相同：energy = X	energyUsage:1	float
resourceUsage	资源需求	可以使用资金/能源/生命/护盾/弹药等。如果不符合条件则停止攻击。credits/energy/hp/shield/ammo	resourceUsage: credits=5, energy=5, hp=100, shield=5, ammo=1	price
#====	#====	计时	#====	#====
delay:	开火间隔	设置攻击间隔，覆盖全局炮塔间隔数据。	delay:60	float
linkDelayWithTurret	链接间隔	当另一炮塔开火时，该炮塔上的冷却延迟将被重置/删除	linkDelayWithTurret:1	turret ref
warmup:	预热	射击前延迟。需要准备多长时间才能攻击，可以制作出蓄力效果。	warmup:10	float
warmupCallDownRate	预热下降速度	停止攻击后预热条下降速度	warmupCallDownRate:0.6	float
warmupNoReset	预热不重置	默认为false。射击后未重设真正的预热时。与warmupCallDownRate一起使用	warmupNoReset:true	bool
warmupShootDelayTransfer	开火间隔过渡	默认值为0，这是一个乘数，用于通过预热值减少下一次开火延迟。与warmupNoReset一起使用时，可以使攻击速度越来越快。	warmupShootDelayTransfer:17	float
#====	#====	射击时	#====	#====
onShoot_freezeBodyMovementFor	射击时冻结主体	射击时禁止运动。	onShoot_freezeBodyMovementFor:true	bool
barrelOffsetX_onOddShots: 	奇数射击时炮弹偏移	默认0。在奇数射击时横向偏移，用于简化双管单位制作。
#====	#====	定位控制	#====	#====
canShoot:	可以开火	可以开火，默认为true	canShoot:true	bool
canAttackFlyingUnits:	可攻击空中单位	可以攻击空中单位，覆盖[attack]的设定。	canAttackFlyingUnits:true	LogicBoolean
canAttackLandUnits:	可攻击表面单位	可以攻击表面单位（包括陆地和水面）	canAttackLandUnits:true	LogicBoolean
canAttackUnderwaterUnits:	可攻击水下单位	可以攻击水下单位	canAttackUnderwaterUnits:true	LogicBoolean
canAttackNotTouchingWaterUnits:	可以攻击非接触水单位	可以攻击非接触水单位，默认为true。如果是false，则只能攻击与水接触的单位，不能攻击岸上。用于鱼雷逻辑。也可以根据炮塔需要设置。	canAttackNotTouchingWaterUnits:true	LogicBoolean
canOnlyAttackUnitsWithTags	只攻击带特定标签单位	只能攻击带特定标签的单位	canOnlyAttackUnitsWithTags:sp_spy	tags
canOnlyAttackUnitsWithoutTags	不攻击带特定标签单位	不能攻击带特定标签的单位	canOnlyAttackUnitsWithoutTags:sp_tm	tags
canAttackCondition:	攻击条件	攻击需要满足条件。	canAttackCondition: if not self.flying	LogicBoolean
clearTurretTargetAfterFiring	射击后重置炮塔目标	射击后重置炮塔目标。	clearTurretTargetAfterFiring:true	bool
limitingRange:	限制范围	限制此炮塔的最远攻击范围。不要将此代码应用到所有炮塔，如果需要则设置maxAttackRange。	limitingRange:150	float
limitingAngle	限制角度	与idleDir配合。炮塔只能以+/-此角度进行攻击。	limitingAngle:60	float
limitingMinRange	最小距离	设置炮塔的最小攻击范围，不能攻击此范围内单位，也就是死角。	limitingMinRange: 60	float
canAttackMaxAngle	可攻击最大角度	设置炮塔的最大射击角度。如果单位在可攻击角度外则不会开火。默认值为5，不要设置得更低。可以设置为181炮塔，即不需要转向就可发射炮弹。	canAttackMaxAngle:90	float
interceptProjectiles_withTags	拦截抛射体需有标签	拦截具有此标签的抛射体，目前铁锈用于反核武器。	interceptProjectiles_withTags: nuke	string
interceptProjectiles_andTargetingGroundUnderDistance	拦截抛射体检索范围	守护的范围，只有当敌方攻击目标地点落在此圈子内时才考虑拦截。	interceptProjectiles_andTargetingGroundUnderDistance: 500	int
interceptProjectiles_andUnderDistance	拦截抛射体攻击范围	默认值为2000，当抛射体到达这个距离时才开始发射拦截。	interceptProjectiles_andUnderDistance: 1600	int
interceptProjectiles_andOverHeight	拦截抛射体高度	需要超过此高度才会拦截。默认值为0.	interceptProjectiles_andOverHeight:50	int
interceptProjectile_removeTargetLifeOnly	拦截抛射体移除目标存活时间	默认值为false，当为false时射弹移除。true时使被击中的抛射体爆炸或分裂。用于设定命中抛射体时是否执行分裂逻辑。	interceptProjectile_removeTargetLifeOnly:false	bool
laserDefenceEnergyUse:	激光防御能量需求	炮塔启用激光防御拦截敌方抛射体。还应在core中设置energyMax。	laserDefenceEnergyUse:1	float
aimOffsetSpread:	瞄准偏移	将每次攻击时的偏移量乘以目标半径。默认为0.6。设为0则不偏移，对范围武器影响较大。	aimOffsetSpread:0	bool
#====	#====	图形和效果	#====	#====
invisible:	隐藏炮塔图像	即不显示炮塔本身图像，但是攻击什么的还是可以。	invisible:true	LogicBoolean
image:	图像	使用自定义图片。覆盖单位的主炮塔图像	image:shibaingtooth.png	file (image)
image_applyTeamColors	图像应用队伍颜色	炮塔图像使用队伍颜色。默认为false。	image_applyTeamColors	bool
image_drawOffsetX	图像绘制偏移x	炮塔图像在X轴偏移。	image_drawOffsetX	float
image_drawOffsetY	图像绘制偏移y	炮塔图像在Y轴偏移。	image_drawOffsetY	float
"chargeEffectImage:
"	充能效果图像	预热时的充能效果。默认是由小变大。	"chargeEffectImage:
"	file (image)
warmupStartEffect	预热效果	开火延迟时产生效果。	warmupStartEffect	effects
shoot_sound:	开火音效	"开火音效，填声音文件。有以下内置条目。attack、move、click、missile_fire、missile_hit、unit_explode、buiding_explode、
tank_firing、cannon_firing、gun_fire、lighting_burst、plasma_fire、plasma_fire2、firing3、firing4、large_gun_fire1、
large_gun_fire2、bug_die、bug_attack、interface_error、nuke_explode、nuke_launch、laser_deflect、laser_deflect2"	shoot_sound:move:0.5	string
shoot_sound_vol:	开火音效大小	播放声音大小。	shoot_sound_vol:	float
shoot_flame:	开火动画	开火动画，内置参考表末尾。Luke推荐为：small, large, smoke, shockwave。可以自定义。	"shoot_flame: smoke
shoot_flame: CUSTOM:lightFade"	effects
shoot_light	开火闪光	开火时闪光，16进制argb格式。#AARRGGBB,透明度，红，绿，蓝	shoot_light:#afafaf	color
idleSpin:	闲时转速	炮塔闲置时的旋转速度,单位度每帧。	idleSpin:2	float
onShoot_playAnimation	开火播放动画	开火后播放[Animation]中的自定义动画	onShoot_playAnimation:animation_1	animation ref
onShoot_freezeBodyMovementFor	开火冻结移动	开火时冻结单位主体运动。	onShoot_freezeBodyMovementFor	bool
onShoot_triggerActions	开火触发行为	每次这个炮塔开火时触发这些动作	onShoot_triggerActions:foxsay	action refs
unloadUpToXUnitsAndGiveAttackOrder	卸载单位并赋予攻击目标	在炮塔炮筒位置卸下X个单位，并让它们攻击炮塔指定的目标。	unloadUpToXUnitsAndGiveAttackOrder:5	int
